ID;PAROLA;MacroCategoria;Categoria;Necessita;Frequenza;Stagionalita;Fonte;Peso;NumeroPattern;NumeroTransazioni;UltimoUtilizzo
595;PRIMARK;Shopping;Abbigliamento;Voluttuario;Occasionale;Saldi;Migrazione;80;4;1;07/12/2024
596;ZARA;Shopping;Abbigliamento;Voluttuario;Occasionale;Saldi;Migrazione;85;4;4;22/12/2024
597;CRF MRK;Shopping;Accessori;Utile;Occasionale;Tutto l'anno;Migrazione;75;1;1;09/07/2024
598;AMAZON;Shopping;Amazon;Voluttuario;Occasionale;Tutto l'anno;Manuale;90;1;1;25/10/2024
599;COSMO SPA;Shopping;Cura Persona;Utile;Occasionale;Tutto l'anno;Migrazione;80;1;2;23/05/2025
600;EURONICS;Shopping;Elettronica;Utile;Occasionale;Tutto l'anno;Migrazione;79;1;2;17/06/2025
601;BRITANNIA;Shopping;Fitness;Utile;Occasionale;Tutto l'anno;Migrazione;75;1;1;16/08/2024
602;FACTO2;Shopping;Forniture;Utile;Occasionale;Tutto l'anno;Migrazione;80;2;1;30/05/2025
603;PV5649;Shopping;Forniture;Utile;Occasionale;Tutto l'anno;Migrazione;75;2;2;07/12/2024
604;MATCH;Shopping;Libreria;Utile;Occasionale;Viaggio;Migrazione;77;2;1;29/05/2025
605;MONDADORI;Shopping;Libreria;Utile;Occasionale;Tutto l'anno;Migrazione;78;2;1;18/05/2025
606;LISMARKETING;Shopping;Marketing Online;Utile;Occasionale;Estera;Migrazione;70;1;1;18/12/2024
607;S FACTORY;Shopping;Moda;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;1;1;22/12/2024
608;ARCA;Shopping;Negozi;Utile;Occasionale;Tutto l'anno;Migrazione;80;2;12;01/07/2025
609;GRUPPO NEGOZI;Shopping;Negozi;Utile;Occasionale;Tutto l'anno;Migrazione;75;2;1;11/06/2025
610;AMAZON PAYMENTS;Shopping;Online;Voluttuario;Occasionale;Tutto l'anno;Migrazione;94;5;1;25/10/2024
611;IDEASVAPOSR;Shopping;Online;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;5;1;03/09/2024
612;PAYPAL;Shopping;Online;Voluttuario;Occasionale;Tutto l'anno;Migrazione;88;5;33;12/08/2025
613;SHEIN;Shopping;Online;Voluttuario;Occasionale;Tutto l'anno;Migrazione;97;5;2;25/01/2025
614;SVAPODREAM;Shopping;Online;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;5;1;04/09/2024
615;LUX PRODUZIONI;Shopping;Produzione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;1;1;08/05/2025
616;C.I.T.;Shopping;Servizi aziendali;Utile;Occasionale;Tutto l'anno;Migrazione;75;1;1;05/03/2025
617;2THELOO;Shopping;Servizi toilette;Utile;Occasionale;Viaggio;Migrazione;74;1;1;25/05/2025
618;ALE HOP;Shopping;Souvenir;Voluttuario;Occasionale;Estera;Migrazione;80;1;1;18/12/2024
619;TABACCHI;Shopping;Tabacchino;Voluttuario;Occasionale;Invernale;Applicazione;80;1;1;19/04/2025
620;SUNDAYS HANDELS;Shopping;Varie;Utile;Occasionale;Estera;Migrazione;70;1;1;26/04/2025
621;CBILL/PAGOPA;Stato;Commissioni;Utile;Annuale;Tutto l'anno;Migrazione;85;1;2;19/01/2025
622;Automobile Club Italia;Stato;Tasse;;;;Migrazione;95;4;0;Mai utilizzato
623;COMUNE;Stato;Tasse;Neutrale;Occasionale;Tutto l'anno;Migrazione;85;4;2;19/01/2025
624;DELEGA;Stato;Tasse;Neutrale;Occasionale;Tutto l'anno;Migrazione;92;4;3;26/05/2025
625;IMPOSTA DI BOLLO;Stato;Tasse;Neutrale;Annuale;Tutto l'anno;Migrazione;95;4;5;30/06/2025
626;CABANA;Svago;Bar;Voluttuario;Occasionale;Estiva;Migrazione;78;2;1;20/07/2024
627;CHORUS CAFE';Svago;Bar;Voluttuario;Occasionale;Tutto l'anno;Migrazione;77;2;1;28/12/2024
628;SIEBENSTERNBRAEU;Svago;Birreria;Voluttuario;Occasionale;Estiva;Migrazione;85;1;1;24/04/2025
629;BRICOWARE;Svago;Fai da te;Utile;Occasionale;Tutto l'anno;Migrazione;70;1;2;08/08/2025
630;LIVE;Svago;Musica;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;1;2;05/04/2025
631;LABYRINTH;Svago;PUB;Base;Occasionale;Annuale;Applicazione;80;1;1;01/08/2025
632;ASSOCIAZIONE;Tempo Libero;Associazioni;Utile;Annuale;Tutto l'anno;Migrazione;85;3;2;03/12/2024
633;BLU DEEP EMOTIONS;Tempo Libero;Associazioni;Utile;Annuale;Tutto l'anno;Migrazione;85;3;4;04/10/2024
634;QUOTA ASSOCIATIVA;Tempo Libero;Associazioni;Utile;Annuale;Tutto l'anno;Migrazione;80;3;2;04/09/2024
635;PONZA;Tempo Libero;Barca;Voluttuario;Occasionale;Estiva;Migrazione;88;2;5;29/06/2025
636;SOLDI;Tempo Libero;Barca;Essenziale;Annuale;Estiva;Migrazione;70;2;1;01/07/2025
637;HANAMI SUSHI;Tempo Libero;Benessere;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;2;1;19/07/2025
638;WE MAKE;Tempo Libero;Benessere;Utile;Occasionale;Tutto l'anno;Migrazione;78;2;1;22/12/2024
639;BIBLIOBAR;Tempo Libero;Biblioteca;Utile;Occasionale;Tutto l'anno;Migrazione;80;1;1;03/11/2024
640;PLAKA CAMPING;Tempo Libero;Camping;Utile;Occasionale;Estiva;Migrazione;80;1;2;24/07/2024
641;BALAGAN;Tempo Libero;Discoteca;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;1;1;04/07/2025
642;COUNTRY CLUB;Tempo Libero;Golf Club;Utile;Occasionale;Tutto l'anno;Migrazione;77;1;1;23/11/2024
643;FULGOR SRLS;Tempo Libero;Mare;Base;Occasionale;Estiva;Applicazione;100;1;2;09/08/2025
644;CHANO CLUB;Tempo Libero;Night Club;Voluttuario;Occasionale;Tutto l'anno;Migrazione;73;1;1;23/04/2025
645;LA CIVETTA;Tempo Libero;Ristoranti;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;1;1;07/12/2024
646;PARCO DEI PINI;Tempo Libero;Ristorazione;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;1;1;07/09/2024
647;AL MARE DA ANGELA;Tempo Libero;Spiaggia;Voluttuario;Occasionale;Estiva;Migrazione;80;3;1;08/06/2025
648;AMARE HOLI;Tempo Libero;Spiaggia;Voluttuario;Occasionale;Estiva;Migrazione;80;3;1;20/07/2025
649;RAMBLA;Tempo Libero;Spiaggia;Voluttuario;Occasionale;Estiva;Migrazione;82;3;1;08/09/2024
650;A.S.D. CETUS;Tempo Libero;Sport;Utile;Annuale;Tutto l'anno;Migrazione;78;9;1;24/10/2024
651;ASD ANDROMEDA;Tempo Libero;Sport;Utile;Ricorrente;Tutto l'anno;Migrazione;85;9;2;08/09/2024
652;ASD CETUS;Tempo Libero;Sport;;;;Migrazione;78;9;0;Mai utilizzato
653;CORSO SUB;Tempo Libero;Sport;Essenziale;Occasionale;Tutto l'anno;Migrazione;85;9;1;05/09/2024
654;OWD;Tempo Libero;Sport;Utile;Occasionale;Tutto l'anno;Migrazione;85;9;1;04/10/2024
655;SCI;Tempo Libero;Sport;Voluttuario;Occasionale;Invernale;Migrazione;85;9;10;15/06/2025
656;SPORT;Tempo Libero;Sport;Utile;Ricorrente;Tutto l'anno;Migrazione;80;9;7;15/05/2025
657;SPORT ACADEMY;Tempo Libero;Sport;Utile;Ricorrente;Tutto l'anno;Migrazione;80;9;1;05/07/2024
658;SPORTIVA;Tempo Libero;Sport;Utile;Ricorrente;Tutto l'anno;Migrazione;85;9;3;03/12/2024
659;LIDO DON PABLO;Tempo Libero;Stabilimento;Voluttuario;Occasionale;Estiva;Migrazione;80;1;3;16/08/2024
660;TEATRO OPERA;Tempo Libero;Teatro;Culturale;Occasionale;Tutto l'anno;Migrazione;80;1;2;19/01/2025
661;STAZIONE MOLE;Trasporti;Stazioni;Utile;Occasionale;Tutto l'anno;Migrazione;70;1;1;12/08/2024
662;BOOKING;Trasporti;Trasporti pubblici;;;;Migrazione;85;4;0;Mai utilizzato
663;ITALO;Trasporti;Trasporti pubblici;;;;Migrazione;95;4;0;Mai utilizzato
664;RYANAIR;Trasporti;Trasporti pubblici;;;;Migrazione;90;4;0;Mai utilizzato
665;TRENITALIA;Trasporti;Trasporti pubblici;;;;Migrazione;95;4;0;Mai utilizzato
666;OEBB TICKET;Trasporti;Viaggi;Utile;Occasionale;Viaggio;Migrazione;80;1;2;27/04/2025
667;GESTIONI RIUNITE;Varie;Servizi;Utile;Occasionale;Tutto l'anno;Migrazione;80;1;1;30/11/2024
668;SKY EXPRE;Viaggi;Aereo;Voluttuario;Occasionale;Estiva;Migrazione;72;1;1;19/07/2024
669;AGOSTA NAOUSA;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;74;29;1;20/07/2024
670;BARCELONA;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;85;29;11;29/09/2024
671;CHRYSOVALANTOU;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70;29;1;24/07/2024
672;IL MIO PECCATO;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;72;29;1;11/07/2025
673;KHM-KHM-KA76;Viaggi;Estero;Culturale;Occasionale;Estera;Migrazione;80;29;1;25/04/2025
674;KYKLADES TOURISTIKES;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70;29;1;21/07/2024
675;LACHANIATI;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;74;29;1;11/07/2025
676;LADIKO RODOY;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;75;29;1;13/07/2025
677;LILLE FRA;Viaggi;Estero;Voluttuario;Occasionale;Tutto l'anno;Applicazione;80;29;9;30/05/2025
678;LINDOS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;80;29;1;08/07/2025
679;MARIA DAMIGOU;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70;29;1;28/07/2024
680;MARIA NOMIKOU;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70;29;1;26/07/2024
681;NOMIKOS MAPKOS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70;29;1;27/07/2024
682;PANAGIOTIS PLATIS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70;29;1;23/07/2024
683;PARALIA AGATHI;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;75;29;1;12/07/2025
684;RHODOS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;90;29;1;07/07/2025
685;RODI;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;85;29;1;06/06/2025
686;RODOS;Viaggi;Estero;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85;29;11;15/07/2025
687;SATU SINIKKA ANDRIKU;Viaggi;Estero;Voluttuario;Occasionale;Viaggio/Estivo;Migrazione;75;29;2;09/07/2025
688;SIFONIOU KALLIOPI;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;72;29;1;11/07/2025
689;SKLAVENITIS;Viaggi;Estero;Essenziale;Ricorrente;Tutto l'anno;Migrazione;80;29;1;08/07/2025
690;SKY;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;75;29;2;26/12/2024
691;SYMIDALAS ILIAS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70;29;1;27/07/2024
692;THEOLOGITIS DIMITRIO;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70;29;2;27/07/2024
693;TSAMPIKOS ATSAIDIS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;72;29;2;13/07/2025
694;TSAMPIKOS WATERSPO;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70;29;1;11/07/2025
695;TZIVELEK;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;75;29;1;11/07/2025
696;VAGIANOY;Viaggi;Estero;Voluttuario;Occasionale;Viaggio/Estivo;Migrazione;73;29;1;09/07/2025
697;VIENNA;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;85;29;3;23/04/2025
698;GRAND HOTEL;Viaggi;Hotel;Voluttuario;Occasionale;Estiva;Migrazione;90;3;2;07/05/2025
699;HAVANA BEACH;Viaggi;Hotel;Voluttuario;Occasionale;Estiva;Migrazione;90;3;8;01/05/2025
700;HOTEL MILANO;Viaggi;Hotel;Voluttuario;Occasionale;Viaggio;Migrazione;80;3;1;12/06/2025
701;SALDO;Viaggi;Spese;Utile;Fissa;Tutto l'anno;Migrazione;82;2;18;31/07/2025
702;SPESE;Viaggi;Spese;Essenziale;Fissa;Tutto l'anno;Migrazione;88;2;18;07/08/2025
703;BLUE STAR;Viaggi;Trasporto;Utile;Occasionale;Viaggio;Migrazione;82;2;1;25/07/2024
704;STAZIONE TTP;Viaggi;Trasporto;Utile;Occasionale;Tutto l'anno;Migrazione;80;2;1;14/06/2025
