ID;PAROLA;MacroCategoria;Categoria;Necessita;Frequenza;Stagionalita;Fonte;Peso
498;SPAR;Spesa e Supermercati;Negozi Specializzati;Essenziale;Occasionale;Viaggio;Migrazione;82
499;SUNSET BEACH;Spesa e Supermercati;Negozi Specializzati;Utile;Occasionale;Estiva;Migrazione;75
500;SUPER MARKET BAZAAR;Spesa e Supermercati;Negozi Specializzati;Voluttuario;Occasionale;Estiva;Migrazione;78
501;SUPERMERCATO;Spesa e Supermercati;Supermercati;Essenziale;Ricorrente;Essenziale;Manuale;100
502;TEDI;Spesa e Supermercati;Negozi Specializzati;Essenziale;Ricorrente;Tutto l'anno;Migrazione;80
503;EUROSURGELATI;Spesa e Supermercati;Prodotti Freschi;Essenziale;Occasionale;Tutto l'anno;Migrazione;80
576;TIME FITNESS;Svago e Tempo Libero;Sport;Essenziale;Fissa;Tutto l'anno;Migrazione;88
580;CINEMA;Svago e Tempo Libero;Intrattenimento;;;Migrazione;80;
581;PALESTRA;Svago e Tempo Libero;Sport;;;Migrazione;80;
626;CABANA;Svago e Tempo Libero;Intrattenimento;Voluttuario;Occasionale;Estiva;Migrazione;78
627;CHORUS CAFE';Svago e Tempo Libero;Intrattenimento;Voluttuario;Occasionale;Tutto l'anno;Migrazione;77
628;SIEBENSTERNBRAEU;Svago e Tempo Libero;Intrattenimento;Voluttuario;Occasionale;Estiva;Migrazione;85
630;LIVE;Svago e Tempo Libero;Intrattenimento;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85
631;LABYRINTH;Svago e Tempo Libero;Intrattenimento;Base;Occasionale;Annuale;Applicazione;80
632;ASSOCIAZIONE;Svago e Tempo Libero;Associazioni;Utile;Annuale;Tutto l'anno;Migrazione;85
633;BLU DEEP EMOTIONS;Svago e Tempo Libero;Associazioni;Utile;Annuale;Tutto l'anno;Migrazione;85
634;QUOTA ASSOCIATIVA;Svago e Tempo Libero;Associazioni;Utile;Annuale;Tutto l'anno;Migrazione;80
635;PONZA;Svago e Tempo Libero;Barca;Voluttuario;Occasionale;Estiva;Migrazione;88
636;SOLDI;Svago e Tempo Libero;Barca;Essenziale;Annuale;Estiva;Migrazione;70
637;HANAMI SUSHI;Svago e Tempo Libero;Benessere;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
638;WE MAKE;Svago e Tempo Libero;Benessere;Utile;Occasionale;Tutto l'anno;Migrazione;78
639;BIBLIOBAR;Svago e Tempo Libero;Cultura;Utile;Occasionale;Tutto l'anno;Migrazione;80
640;PLAKA CAMPING;Svago e Tempo Libero;Camping;Utile;Occasionale;Estiva;Migrazione;80
641;BALAGAN;Svago e Tempo Libero;Intrattenimento;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
642;COUNTRY CLUB;Svago e Tempo Libero;Cultura;Utile;Occasionale;Tutto l'anno;Migrazione;77
643;FULGOR SRLS;Svago e Tempo Libero;Spiaggia e Mare;Base;Occasionale;Estiva;Applicazione;100
644;CHANO CLUB;Svago e Tempo Libero;Intrattenimento;Voluttuario;Occasionale;Tutto l'anno;Migrazione;73
645;LA CIVETTA;Svago e Tempo Libero;Ristoranti Tempo Libero;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
646;PARCO DEI PINI;Svago e Tempo Libero;Ristoranti Tempo Libero;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80
647;AL MARE DA ANGELA;Svago e Tempo Libero;Spiaggia e Mare;Voluttuario;Occasionale;Estiva;Migrazione;80
648;AMARE HOLI;Svago e Tempo Libero;Spiaggia e Mare;Voluttuario;Occasionale;Estiva;Migrazione;80
649;RAMBLA;Svago e Tempo Libero;Spiaggia e Mare;Voluttuario;Occasionale;Estiva;Migrazione;82
650;A.S.D. CETUS;Svago e Tempo Libero;Sport;Utile;Annuale;Tutto l'anno;Migrazione;78
651;ASD ANDROMEDA;Svago e Tempo Libero;Sport;Utile;Ricorrente;Tutto l'anno;Migrazione;85
652;ASD CETUS;Svago e Tempo Libero;Sport;;;Migrazione;78;
653;CORSO SUB;Svago e Tempo Libero;Sport;Essenziale;Occasionale;Tutto l'anno;Migrazione;85
654;OWD;Svago e Tempo Libero;Sport;Utile;Occasionale;Tutto l'anno;Migrazione;85
655;SCI;Svago e Tempo Libero;Sport;Voluttuario;Occasionale;Invernale;Migrazione;85
656;SPORT;Svago e Tempo Libero;Sport;Utile;Ricorrente;Tutto l'anno;Migrazione;80
657;SPORT ACADEMY;Svago e Tempo Libero;Sport;Utile;Ricorrente;Tutto l'anno;Migrazione;80
658;SPORTIVA;Svago e Tempo Libero;Sport;Utile;Ricorrente;Tutto l'anno;Migrazione;85
659;LIDO DON PABLO;Svago e Tempo Libero;Spiaggia e Mare;Voluttuario;Occasionale;Estiva;Migrazione;80
660;TEATRO OPERA;Svago e Tempo Libero;Cultura;Culturale;Occasionale;Tutto l'anno;Migrazione;80
621;CBILL/PAGOPA;Tasse e Stato;Commissioni Stato;Utile;Annuale;Tutto l'anno;Migrazione;85
622;Automobile Club Italia;Tasse e Stato;Tasse;;;Migrazione;95;
623;COMUNE;Tasse e Stato;Tasse;Neutrale;Occasionale;Tutto l'anno;Migrazione;85
624;DELEGA;Tasse e Stato;Tasse;Neutrale;Occasionale;Tutto l'anno;Migrazione;92
625;IMPOSTA DI BOLLO;Tasse e Stato;Tasse;Neutrale;Annuale;Tutto l'anno;Migrazione;95
582;MAKERE;Viaggi;Noleggio;Utile;Occasionale;Estiva;Migrazione;73
583;Y.R.G.;Viaggi;Noleggio;Utile;Occasionale;Estiva;Migrazione;70
668;SKY EXPRE;Viaggi;Aereo;Voluttuario;Occasionale;Estiva;Migrazione;72
669;AGOSTA NAOUSA;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;74
670;BARCELONA;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;85
671;CHRYSOVALANTOU;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70
672;IL MIO PECCATO;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;72
673;KHM-KHM-KA76;Viaggi;Estero;Culturale;Occasionale;Estera;Migrazione;80
674;KYKLADES TOURISTIKES;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70
675;LACHANIATI;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;74
676;LADIKO RODOY;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;75
677;LILLE FRA;Viaggi;Estero;Voluttuario;Occasionale;Tutto l'anno;Applicazione;80
678;LINDOS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;80
679;MARIA DAMIGOU;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70
680;MARIA NOMIKOU;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70
681;NOMIKOS MAPKOS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70
682;PANAGIOTIS PLATIS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70
683;PARALIA AGATHI;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;75
684;RHODOS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;90
685;RODI;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;85
686;RODOS;Viaggi;Estero;Voluttuario;Occasionale;Tutto l'anno;Migrazione;85
687;SATU SINIKKA ANDRIKU;Viaggi;Estero;Voluttuario;Occasionale;Viaggio/Estivo;Migrazione;75
688;SIFONIOU KALLIOPI;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;72
689;SKLAVENITIS;Viaggi;Estero;Essenziale;Ricorrente;Tutto l'anno;Migrazione;80
690;SKY;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;75
691;SYMIDALAS ILIAS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70
692;THEOLOGITIS DIMITRIO;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70
693;TSAMPIKOS ATSAIDIS;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;72
694;TSAMPIKOS WATERSPO;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;70
695;TZIVELEK;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;75
696;VAGIANOY;Viaggi;Estero;Voluttuario;Occasionale;Viaggio/Estivo;Migrazione;73
697;VIENNA;Viaggi;Estero;Voluttuario;Occasionale;Estiva;Migrazione;85
698;GRAND HOTEL;Viaggi;Hotel;Voluttuario;Occasionale;Estiva;Migrazione;90
699;HAVANA BEACH;Viaggi;Hotel;Voluttuario;Occasionale;Estiva;Migrazione;90
700;HOTEL MILANO;Viaggi;Hotel;Voluttuario;Occasionale;Viaggio;Migrazione;80
701;SALDO;Viaggi;Spese;Utile;Fissa;Tutto l'anno;Migrazione;82
702;SPESE;Viaggi;Spese;Essenziale;Fissa;Tutto l'anno;Migrazione;88
